aaa_bull,aaa_cow,cow,no,stier,color_cow,aandacht,dad_name,dad_code,dadsdad_name,dadsdad_code,mom_name,mom_nr,momsdad_name,momsdad_code,momsmom_name,momsmom_code,match,nummer,birth,color_bull,bull_name,bull_dad,bulls_moms_dad,code,accuracy,score_prod,score_kg_eiwit,score_kg_vet,score_eiwit,score_vet,score_laatrijpheid,score_persistentie,score_vruchtbaarheid,score_uier,score_klauw,score_melksnelheid,score_afkalfgemak,index_inet,index_inet_nvo,index_nvi,index_tip,ziekte_stofwisseling,ziekte_reproductie,ziekte_celgetal,ext_frame,ext_type,ext_uier,ext_beenwerk,ext_totaal exterieur,ext_hoogtemaat,ext_voorhand,ext_inhoud,ext_openheid,ext_conditie score,ext_kruisligging,ext_kruisbreedte,ext_beenstand achter,ext_beenstand zij,ext_klauwhoek,ext_voorbeenstand,ext_beengebruik,ext_vooruieraanhechting,ext_voorspeenplaatsing,ext_speenlengte,ext_uierdiepte,ext_achteruierhoogte,ext_ophangband,ext_achterspeenplaatsing,kik,kik_adv,kiv,score_aanhouding,score_bevruchting,is_inteelt
153,156,34,1298,VDR Saul Hudson,ZB,,BRAKELS FINALE,NL 7563 1376 2,BOUW FINDER,NL 9219 6711 4,BUNNY 252,NL 6664 1007 4 (3),HEIDENSKIPSTER SNOWFLAKE,NL 8980 5361 4,BUNNY 243,NL 8974 0745 4 (5),0.87,NLDM000872390502,2016,ZB,Vdr Slash,Balu,Big Malki,361096,94,1049,59,56,0.23,0.12,104,107,103,105,111,91,101,369,202,259,286,,101,106,102,106,101,105,105,99,103,103,106,101,93,105,103,105,97,105,106,100,98,103,98,104,106,106,,,TRUE,,,FALSE
153,156,34,1298,VDR Saul Hudson,ZB,,BRAKELS FINALE,NL 7563 1376 2,BOUW FINDER,NL 9219 6711 4,BUNNY 252,NL 6664 1007 4 (3),HEIDENSKIPSTER SNOWFLAKE,NL 8980 5361 4,BUNNY 243,NL 8974 0745 4 (5),0.87,NLDM000916344441,2013,ZB,Mars Mandela,Mountfield Ssi Dcy Mogul,Charlesdale Superstition,768464,92,800,37,51,0.1,0.18,104,105,105,104,103,100,104,270,138,214,230,99,99,104,100,100,102,99,101,99,100,106,105,96,98,96,99,105,98,,100,100,101,101,98,103,102,99,,,,,,FALSE
153,156,1444,1444,VDR Saul Hudson,ZB,,STRANGER,NL 5870 6034 1,RANGER,NL 6617 2652 7,JANS 849,NL 7587 1064 8 (18),KIK Startup,NL 6631 6307 4,JANS 843,NL 7546 0870 5 (58),0.87,NLDM000872390502,2016,ZB,Vdr Slash,Balu,Big Malki,361096,94,1049,59,56,0.23,0.12,104,107,103,105,111,91,101,369,202,259,286,,101,106,102,106,101,105,105,99,103,103,106,101,93,105,103,105,97,105,106,100,98,103,98,104,106,106,,,TRUE,,,FALSE
153,156,1444,1444,VDR Saul Hudson,ZB,,STRANGER,NL 5870 6034 1,RANGER,NL 6617 2652 7,JANS 849,NL 7587 1064 8 (18),KIK Startup,NL 6631 6307 4,JANS 843,NL 7546 0870 5 (58),0.87,NLDM000916344441,2013,ZB,Mars Mandela,Mountfield Ssi Dcy Mogul,Charlesdale Superstition,768464,92,800,37,51,0.1,0.18,104,105,105,104,103,100,104,270,138,214,230,99,99,104,100,100,102,99,101,99,100,106,105,96,98,96,99,105,98,,100,100,101,101,98,103,102,99,,,,,,FALSE
153,315,52,1076,Vandenberg Sneaker,ZB,,BIG WINNER,NL 4297 5958 3,ART-ACRES WIN 395,NL 9701 1831 2,AGAAT 51,NL 6664 0949 0 (34),CHARITYMAN,NL 7651 2684 5,AGAAT 34,NL 5293 0669 8 (73),0.82,NLDM000872390502,2016,ZB,Vdr Slash,Balu,Big Malki,361096,94,1049,59,56,0.23,0.12,104,107,103,105,111,91,101,369,202,259,286,,101,106,102,106,101,105,105,99,103,103,106,101,93,105,103,105,97,105,106,100,98,103,98,104,106,106,,,TRUE,,,FALSE
153,315,52,1076,Vandenberg Sneaker,ZB,,BIG WINNER,NL 4297 5958 3,ART-ACRES WIN 395,NL 9701 1831 2,AGAAT 51,NL 6664 0949 0 (34),CHARITYMAN,NL 7651 2684 5,AGAAT 34,NL 5293 0669 8 (73),0.82,NLDM000916344441,2013,ZB,Mars Mandela,Mountfield Ssi Dcy Mogul,Charlesdale Superstition,768464,92,800,37,51,0.1,0.18,104,105,105,104,103,100,104,270,138,214,230,99,99,104,100,100,102,99,101,99,100,106,105,96,98,96,99,105,98,,100,100,101,101,98,103,102,99,,,,,,FALSE
153,516,99,1356,VDR Saul Hudson,ZB,,WILLEM,NL 7594 6474 6,WISENT,NL 6752 6848 2,MARIA 3,NL 6633 1158 9 (92),BIG WINNER,NL 4297 5958 3,MARIA 2,NL 7587 1041 5 (14),0.79,NLDM000872390502,2016,ZB,Vdr Slash,Balu,Big Malki,361096,94,1049,59,56,0.23,0.12,104,107,103,105,111,91,101,369,202,259,286,,101,106,102,106,101,105,105,99,103,103,106,101,93,105,103,105,97,105,106,100,98,103,98,104,106,106,,,TRUE,,,FALSE
153,516,99,1356,VDR Saul Hudson,ZB,,WILLEM,NL 7594 6474 6,WISENT,NL 6752 6848 2,MARIA 3,NL 6633 1158 9 (92),BIG WINNER,NL 4297 5958 3,MARIA 2,NL 7587 1041 5 (14),0.79,NLDM000916344441,2013,ZB,Mars Mandela,Mountfield Ssi Dcy Mogul,Charlesdale Superstition,768464,92,800,37,51,0.1,0.18,104,105,105,104,103,100,104,270,138,214,230,99,99,104,100,100,102,99,101,99,100,106,105,96,98,96,99,105,98,,100,100,101,101,98,103,102,99,,,,,,FALSE
156,156,34,1298,VDR Saul Hudson,ZB,,BRAKELS FINALE,NL 7563 1376 2,BOUW FINDER,NL 9219 6711 4,BUNNY 252,NL 6664 1007 4 (3),HEIDENSKIPSTER SNOWFLAKE,NL 8980 5361 4,BUNNY 243,NL 8974 0745 4 (5),1,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,156,1444,1444,VDR Saul Hudson,ZB,,STRANGER,NL 5870 6034 1,RANGER,NL 6617 2652 7,JANS 849,NL 7587 1064 8 (18),KIK Startup,NL 6631 6307 4,JANS 843,NL 7546 0870 5 (58),1,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,8,1278,VDR Saul Hudson,ZB,,BRAKELS FINALE,NL 7563 1376 2,BOUW FINDER,NL 9219 6711 4,BUNNY 250,NL 6664 0941 4 (25),BIG WINNER,NL 4297 5958 3,BUNNY 245,NL 9442 0808 1 (31),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,19,0970,VDR Saul Hudson,ZB,,BOSSINK BLACK LEGEND,NL 7261 1264 1,MORNINGVIEW LEGEND,US135404667,BETJE 66,NL 9442 0838 4 (52),BIG WINNER,NL 4297 5958 3,BETJE 64,NL 5293 0711 0 (23),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,20,1289,VDR Saul Hudson,ZB,,DUMOULIN,NL 6770 4677 2,DG Charley,DE 05389 20253,AGAAT 59,NL 7587 1076 3 (52),BIG WINNER,NL 4297 5958 3,AGAAT 51,NL 6664 0949 0 (34),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,38,1380,VDR Saul Hudson,ZB,,,,,,BEERTJE 1,NL 7587 1043 9 (38),APINA GUNPOWER,NL 9684 5821 3,BEERTJE,BEERTJE (92),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,53,1245,VDR Saul Hudson,ZB,,BIG GOSPELL,NL 5632 7489 6,BIG SPELL,NL 6443 6372 5,BETJE 72,NL 6664 0982 5 (2),BIG WINNETOE,NL 8692 6777 4,BETJE 61,NL 5293 0684 5 (72),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,57,1351,VDR Saul Hudson,ZB,,DE PAARLBERG 419,NL 8891 5115 6,BROEKHUIZEN BART,NL 9186 8008 2,LIES 845,NL 7546 0901 8(7),CASANOVA,NL 5837 2300 8,LIES 843,NL 4753 0537 0 (74),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,65,1358,,ZB,,VANDEBEEK,NL 6847 5541 2,BALTIKUM,DK03372306362,MARIJKE 33,NL 6633 1126 2 (65),WINTERSELL STELLATION,UK261437601701,MARIJKE 30,NL 6664 1001 2 (20),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,1410,1410,VDR Saul Hudson,ZB,,RICOLM,NL 7485 8354 2,APINA MALCOLM,NL 7515 1971 4,METRIET,NL 6633 1124 8 (12),T BROOK NO CLAIM,NL 6396 7747 1,67,NL 7546 0933 5 (67),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,1415,1415,VDR Saul Hudson,ZB,,x,x,x,x,JACOBINE 4,NL 6664 0991 9 (32),x,x,JACOBINE 1,NL 8974 0749 2 (81),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,1462,1462,,ZB,,BAAK NEXIT,NL 7115 0058 3,LUNAR,NL 6760 1224 6,AGAAT 59,NL 7587 1076 3 (52),BIG WINNER,NL 4297 5958 3,AGAAT 51,NL 6664 0949 0 (34),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
156,165,1477,1477,,ZB,,EXOTIC,NL 6188 0900 8,JACUZZI-RED,NL 5762 8954 8,BUNNY 255,NL 7587 1057 8 (1),BIG POSITION,NL 9241 6934 0,BUNNY 246,NL 9442 0841 6 (32),0.95,NLDM000880207746,2014,ZB,Vekis Dvh Preston,Mr Moviestar Mardi Gras,Maxim,39810,98,154,6,18,0.01,0.13,101,107,105,99,102,104,95,70,31,100,119,,101,100,100,98,110,98,104,100,94,102,103,94,100,102,99,102,96,97,99,108,104,101,109,109,103,104,,,,,,FALSE
